timestamp,fcfileloggerapp_loggingstate,engineservice_currentmode,envapp_newboardtempevent1,envapp_newboardtempevent2,envapp_newboardtempevent3,envapp_newchamberpressevent1,envapp_newoxidizerpressevent,envapp_newpressurefeedpressevent,envapp_newtempevent_1,envapp_newtempevent_2,envapp_newtempevent_3,secenvapp_newboardtempevent1,secenvapp_newboardtempevent2,secenvapp_newboardtempevent3,secenvapp_newchamberpressevent2,secenvapp_newchamberpressevent3,secenvapp_newethanolpressevent,servoservice_newoxidizerdumpvalveevent,servoservice_newoxidizermainvalveevent,servoservice_newoxidizerventvalveevent,servoservice_newpressurefeedmainevent,servoservice_newpressurefeedventevent,secservoservice_newethanolmainvalveevent,secservoservice_newethanolventvalveevent,sysstatservice_newsystemusage,envappfc_newbme280event,envappfc_newboardtempevent_1,envappfc_newboardtempevent_2,envappfc_newboardtempevent_3,envappfc_newimuevent,recoveryservice_newparachutestatusevent,gpsservice_gpsrmcstatusevent,gpsservice_gpsstatusevent,gpsservice_gpsvtgstatusevent,primerservice_primestatusevent,fcsysstatservice_newsystemusage,mainservice_currentmodestatusevent
2026-07-13 05:19:39.754699,,2,23.0,24.7,27.0,1.39,56.21,100.8,16.2,,,22.5,23.0,22.2,-23.91,1.42,40.26,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.863366,,2,23.0,24.7,27.0,1.08,56.64,100.8,16.2,,,22.5,23.0,22.2,-23.91,1.25,40.09,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:39.970307,,2,23.0,24.7,27.0,1.22,56.21,99.73,16.2,,,22.5,23.0,22.2,-23.91,1.12,40.09,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:40.077634,,2,23.0,24.7,27.0,1.08,56.61,100.93,16.2,,,22.5,23.0,22.2,-23.91,0.92,40.59,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:40.184928,,2,23.0,24.7,27.0,1.05,56.74,102.55,16.2,,,22.5,23.0,22.2,-23.91,0.75,40.66,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:40.291514,,2,23.0,24.7,27.0,1.29,56.74,100.13,16.2,,,22.5,23.0,22.2,-23.91,0.78,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:40.398731,,2,23.0,24.7,27.0,1.19,56.94,102.28,16.2,,,22.5,23.0,22.2,-23.91,0.98,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:40.506006,,2,23.0,24.7,27.0,0.98,56.91,101.34,16.2,,,22.5,23.0,22.2,-23.91,1.19,40.33,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:40.613283,,2,23.0,24.7,27.0,0.75,56.91,98.79,16.2,,,22.5,23.0,22.2,-23.91,0.75,40.56,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 05:19:40.720804,,2,23.0,24.7,27.0,1.19,57.01,100.93,16.2,,,22.5,23.0,22.2,-23.91,0.95,40.73,0,0,0,1,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
